name	label	size	label.family	label.cex	ModuleSize
21	15.1	15.9814736491977	sans	0.6	283
61	13.1	11.9034658818346	sans	0.6	157
3	31.2	28.0692447351189	sans	0.6	873
-1	NA	0.1	sans	0.6	0.1
5	22.4	20.5735874363223	sans	0.6	469
-2	NA	0.1	sans	0.6	0.1
2	31.3	29.0799329435265	sans	0.6	937
-3	NA	0.1	sans	0.6	0.1
42	18.1	13.6681198414412	sans	0.6	207
48	29.2	12.9910546146185	sans	0.6	187
63	6.2	11.6737954410723	sans	0.6	151
-5	NA	0.1	sans	0.6	0.1
26	10.2	15.2592594839986	sans	0.6	258
34	5.2	14.218298069741	sans	0.6	224
30	4.1	14.747965961447	sans	0.6	241
37	16.2	13.8973018964114	sans	0.6	214
28	4.3	14.9907471461565	sans	0.6	249
33	22.1	14.3446854270144	sans	0.6	228
52	21.1	12.6389279608676	sans	0.6	177
-4	NA	0.1	sans	0.6	0.1
67	26.2	11.3603477059463	sans	0.6	143
70	14.1	10.9970450576507	sans	0.6	134
51	17.1	12.78094284472	sans	0.6	181
54	26.3	12.4952991160676	sans	0.6	173
6	29.1	19.8593177123485	sans	0.6	437
60	5.1	12.054148663427	sans	0.6	161
32	3.2	14.3761086529005	sans	0.6	229
56	30.4	12.4228619890909	sans	0.6	171
15	6.4	16.6453446945385	sans	0.6	307
39	1	13.76680790888	sans	0.6	210
74	16.1	10.3196414666402	sans	0.6	118
-9	NA	0.1	sans	0.6	0.1
53	28.1	12.5313606603593	sans	0.6	174
-6	NA	0.1	sans	0.6	0.1
13	2	16.8072157123064	sans	0.6	313
71	30.3	10.6637235523057	sans	0.6	126
11	15.3	17.3098238003742	sans	0.6	332
-10	NA	0.1	sans	0.6	0.1
23	19.3	15.6678013773471	sans	0.6	272
-7	NA	0.1	sans	0.6	0.1
43	16.4	13.5354165063363	sans	0.6	203
-18	NA	0.1	sans	0.6	0.1
40	27.1	13.7010948467632	sans	0.6	208
-19	NA	0.1	sans	0.6	0.1
22	31.1	15.9249018835282	sans	0.6	281
47	20.1	13.1635861375235	sans	0.6	192
-13	NA	0.1	sans	0.6	0.1
-20	NA	0.1	sans	0.6	0.1
10	12	17.4137876408322	sans	0.6	336
-16	NA	0.1	sans	0.6	0.1
19	21.2	16.1779170476301	sans	0.6	290
36	30.2	13.9620915338641	sans	0.6	216
24	7	15.5521702665577	sans	0.6	268
31	28.3	14.7173367155882	sans	0.6	240
17	3.1	16.3995426765505	sans	0.6	298
57	6.1	12.3134073269749	sans	0.6	168
16	9.2	16.5092398371336	sans	0.6	302
-26	NA	0.1	sans	0.6	0.1
-21	NA	0.1	sans	0.6	0.1
-25	NA	0.1	sans	0.6	0.1
44	19.2	13.5020368833743	sans	0.6	202
62	9.1	11.9034658818346	sans	0.6	157
25	16.3	15.3182897217672	sans	0.6	260
55	13.2	12.4591331961738	sans	0.6	172
1	30.1	31.3356027546942	sans	0.6	1088
-24	NA	0.1	sans	0.6	0.1
29	17.2	14.8394743842226	sans	0.6	244
41	20.2	13.6681198414412	sans	0.6	207
66	10.3	11.4	sans	0.6	144
-8	NA	0.1	sans	0.6	0.1
-17	NA	0.1	sans	0.6	0.1
-32	NA	0.1	sans	0.6	0.1
27	18.2	15.1106750345575	sans	0.6	253
49	19.1	12.9213969832987	sans	0.6	185
20	22.2	16.0940206287925	sans	0.6	287
59	8	12.1287880680635	sans	0.6	163
-15	NA	0.1	sans	0.6	0.1
-29	NA	0.1	sans	0.6	0.1
35	26.1	13.9943738695234	sans	0.6	217
-30	NA	0.1	sans	0.6	0.1
68	11	11.0788086002061	sans	0.6	136
-23	NA	0.1	sans	0.6	0.1
18	6.3	16.3720035426334	sans	0.6	297
-33	NA	0.1	sans	0.6	0.1
12	14.2	17.1789842540239	sans	0.6	327
-27	NA	0.1	sans	0.6	0.1
-12	NA	0.1	sans	0.6	0.1
-28	NA	0.1	sans	0.6	0.1
46	15.2	13.4013991806826	sans	0.6	199
-31	NA	0.1	sans	0.6	0.1
45	27.2	13.4350288425444	sans	0.6	200
-34	NA	0.1	sans	0.6	0.1
58	23.4	12.1659360511224	sans	0.6	164
-39	NA	0.1	sans	0.6	0.1
-36	NA	0.1	sans	0.6	0.1
-45	NA	0.1	sans	0.6	0.1
-35	NA	0.1	sans	0.6	0.1
-37	NA	0.1	sans	0.6	0.1
72	4.2	10.621322893124	sans	0.6	125
-38	NA	0.1	sans	0.6	0.1
14	23.2	16.7803456460229	sans	0.6	312
-40	NA	0.1	sans	0.6	0.1
73	24	10.578752289377	sans	0.6	124
-51	NA	0.1	sans	0.6	0.1
8	23.1	17.6965392096873	sans	0.6	347
-47	NA	0.1	sans	0.6	0.1
69	25	10.9970450576507	sans	0.6	134
-44	NA	0.1	sans	0.6	0.1
-22	NA	0.1	sans	0.6	0.1
-42	NA	0.1	sans	0.6	0.1
-49	NA	0.1	sans	0.6	0.1
-53	NA	0.1	sans	0.6	0.1
-41	NA	0.1	sans	0.6	0.1
-52	NA	0.1	sans	0.6	0.1
-46	NA	0.1	sans	0.6	0.1
-57	NA	0.1	sans	0.6	0.1
4	28.2	24.0145268535526	sans	0.6	639
-48	NA	0.1	sans	0.6	0.1
-54	NA	0.1	sans	0.6	0.1
-58	NA	0.1	sans	0.6	0.1
-14	NA	0.1	sans	0.6	0.1
-50	NA	0.1	sans	0.6	0.1
-43	NA	0.1	sans	0.6	0.1
-59	NA	0.1	sans	0.6	0.1
-11	NA	0.1	sans	0.6	0.1
-62	NA	0.1	sans	0.6	0.1
7	27.3	17.8488795166531	sans	0.6	353
-56	NA	0.1	sans	0.6	0.1
64	10.1	11.6737954410723	sans	0.6	151
-55	NA	0.1	sans	0.6	0.1
9	21.4	17.4913550075459	sans	0.6	339
-64	NA	0.1	sans	0.6	0.1
38	16.5	13.8973018964114	sans	0.6	214
-60	NA	0.1	sans	0.6	0.1
-66	NA	0.1	sans	0.6	0.1
-67	NA	0.1	sans	0.6	0.1
65	22.3	11.5572488075666	sans	0.6	148
-65	NA	0.1	sans	0.6	0.1
-61	NA	0.1	sans	0.6	0.1
-63	NA	0.1	sans	0.6	0.1
50	21.3	12.8513617955452	sans	0.6	183
-68	NA	0.1	sans	0.6	0.1
-70	NA	0.1	sans	0.6	0.1
-71	NA	0.1	sans	0.6	0.1
-69	NA	0.1	sans	0.6	0.1
-72	NA	0.1	sans	0.6	0.1
-73	NA	0.1	sans	0.6	0.1
