Label	RawIndex
1.1	32
1.2	56
2.1	72
2.2	20
2.3	59
3.1	70
3.2	67
4.1	12
4.2	24
4.3	31
5	4
6.1	55
6.2	25
7.1	53
7.2	63
7.3	48
7.4	42
8.1	46
8.2	62
8.3	44
9	69
10.1	51
10.2	54
11.1	17
11.2	57
12.1	45
12.2	41
12.3	29
13.1	68
13.2	47
13.3	22
14	73
15	14
16	35
17.1	10
17.2	74
17.3	28
17.4	33
18.1	43
18.2	71
18.3	13
19	38
20	9
21	7
22.1	49
22.2	27
23.1	66
23.2	37
23.3	30
24	8
25	58
26.1	39
26.2	15
27.1	16
27.2	36
27.3	19
28	65
29	64
30.1	40
30.2	11
30.3	52
30.4	2
30.5	5
30.6	3
30.7	61
30.8	21
31	18
32	1
33.1	60
33.2	6
34.1	23
34.2	34
34.3	26
